,date,funding_rate
210,2023-12-03,0.00030000000000000003
211,2023-12-04,0.00030000000000000003
212,2023-12-05,0.00030000000000000003
213,2023-12-06,0.00030000000000000003
214,2023-12-07,0.00030000000000000003
215,2023-12-08,0.0005353000000000001
216,2023-12-09,0.00058855
217,2023-12-10,0.0006503
218,2023-12-11,0.00034730000000000004
219,2023-12-12,0.00030000000000000003
220,2023-12-13,0.00034672
221,2023-12-14,0.00030000000000000003
222,2023-12-15,0.00030000000000000003
223,2023-12-16,0.00030000000000000003
224,2023-12-17,0.00030000000000000003
225,2023-12-18,0.00038966
226,2023-12-19,0.00030000000000000003
227,2023-12-20,0.00044143
228,2023-12-21,0.00085307
229,2023-12-22,0.00078427
230,2023-12-23,0.00041351
231,2023-12-24,0.00050519
232,2023-12-25,0.00057908
233,2023-12-26,0.00096707
234,2023-12-27,0.00097867
235,2023-12-28,0.00101052
236,2023-12-29,0.00152164
237,2023-12-30,0.00114455
238,2023-12-31,0.00096025
239,2024-01-01,0.00098223
240,2024-01-02,0.00154755
241,2024-01-03,0.00048282
242,2024-01-04,0.00030000000000000003
243,2024-01-05,0.00030000000000000003
244,2024-01-06,0.00030000000000000003
245,2024-01-07,0.00030000000000000003
246,2024-01-08,0.00030000000000000003
247,2024-01-09,0.00030000000000000003
248,2024-01-10,0.00030000000000000003
249,2024-01-11,0.00030000000000000003
250,2024-01-12,0.00030000000000000003
251,2024-01-13,0.00030000000000000003
252,2024-01-14,0.00030000000000000003
253,2024-01-15,0.00030000000000000003
254,2024-01-16,0.00030000000000000003
255,2024-01-17,0.00030000000000000003
256,2024-01-18,0.00030000000000000003
257,2024-01-19,0.00030000000000000003
258,2024-01-20,0.00030000000000000003
259,2024-01-21,0.00030000000000000003
260,2024-01-22,0.00030000000000000003
261,2024-01-23,0.00030000000000000003
262,2024-01-24,0.00030000000000000003
263,2024-01-25,0.00030000000000000003
264,2024-01-26,0.00030000000000000003
265,2024-01-27,0.00027266
266,2024-01-28,0.00024725
267,2024-01-29,0.00029142
268,2024-01-30,0.00024641
269,2024-01-31,0.00022154
270,2024-02-01,0.00030000000000000003
271,2024-02-02,0.00030000000000000003
272,2024-02-03,0.00024697
273,2024-02-04,0.00027153
274,2024-02-05,0.00030000000000000003
275,2024-02-06,0.00026723000000000003
276,2024-02-07,0.00021206
277,2024-02-08,0.00019125000000000001
278,2024-02-09,0.00022961000000000002
279,2024-02-10,0.00028041000000000003
280,2024-02-11,0.00030000000000000003
281,2024-02-12,0.00030000000000000003
282,2024-02-13,0.00030000000000000003
283,2024-02-14,0.00032282999999999997
284,2024-02-15,0.00030000000000000003
285,2024-02-16,0.00030000000000000003
286,2024-02-17,0.00036041000000000003
287,2024-02-18,0.0004964
288,2024-02-19,0.00055985
289,2024-02-20,0.00041631999999999997
290,2024-02-21,0.00031242
291,2024-02-22,0.00036037
292,2024-02-23,0.00032991
293,2024-02-24,0.00030000000000000003
294,2024-02-25,0.00041512
295,2024-02-26,0.00075555
296,2024-02-27,0.0012874800000000001
297,2024-02-28,0.0010394900000000001
298,2024-02-29,0.0020245899999999997
299,2024-03-01,0.00164156
300,2024-03-02,0.0014699600000000002
301,2024-03-03,0.00133854
302,2024-03-04,0.00165524
303,2024-03-05,0.00220077
304,2024-03-06,0.0011951
305,2024-03-07,0.00125512
306,2024-03-08,0.00141229
307,2024-03-09,0.00076822
308,2024-03-10,0.0014894
309,2024-03-11,0.00180313
310,2024-03-12,0.00137705
311,2024-03-13,0.00143046
312,2024-03-14,0.00101404
313,2024-03-15,0.00068149
314,2024-03-16,0.00054015
315,2024-03-17,0.00055689
316,2024-03-18,0.00077973
317,2024-03-19,0.00080006
318,2024-03-20,0.00044235
319,2024-03-21,0.00049217
320,2024-03-22,0.00038264
321,2024-03-23,0.00030806000000000003
322,2024-03-24,0.00040851
