timestamp,spot_price,future_price,funding_rate,basis,spread,basis_lag,deviations,ou_forecast,residuals,ou_zscore,positions,basis_returns,strategy_returns,funding_pnl,total_returns,equity
2025-08-11,118686.0,118641.9,0.0003,-0.00037156867701334465,-44.10000000000582,-0.00032449240326477293,-0.0001202047509003546,-0.0003170464633093291,-5.4522213704015574e-05,-0.6831332813229214,0,-4.7076273748571725e-05,-0.0,0.0,-0.0,10089.837437213018
2025-08-12,120134.08,120081.0,0.00026531,-0.00044183965116311493,-53.080000000001746,-0.00037156867701334465,-0.00019047572505012487,-0.0003593294318871893,-8.251021927592564e-05,-1.0824888874294114,0,-7.027097414977028e-05,-0.0,0.0,-0.0,10089.837437213018
2025-08-13,123306.43,123323.9,0.00027123,0.00014167955393730208,17.470000000001164,-0.00044183965116311493,0.00039304348005029214,-0.0004224454169751235,0.0005641249709124256,2.233697755023959,-1,0.000583519205100417,0.0,-0.00027123,0.0,10089.837437213018
2025-08-14,118295.09,118242.2,0.0003,-0.00044710224236694374,-52.88999999999942,0.00014167955393730208,-0.00019573831625395368,0.00010165987533441174,-0.0005487621177013554,-1.1123966171190047,0,-0.0005887817963042459,0.0005887817963042459,0.0,0.0005887817963042459,10095.778149823718
2025-08-15,117342.05,117279.2,0.00013651,-0.0005356136184769724,-62.85000000000582,-0.00044710224236694374,-0.00028424969236398237,-0.00042717217125686754,-0.00010844144722010489,-1.6154138967486136,0,-8.85113761100287e-05,-0.0,0.0,-0.0,10095.778149823718
2025-08-16,117380.66,117329.7,0.00026141,-0.00043414306922457584,-50.9600000000064,-0.0005356136184769724,-0.00018277914311158578,-0.0005066713209735984,7.252825174902254e-05,-1.0387485923473687,0,0.00010147054925239659,0.0,0.0,0.0,10095.778149823718
2025-08-17,117405.01,117353.8,0.00014748,-0.00043618240822935794,-51.20999999999185,-0.00043414306922457584,-0.00018481848211636788,-0.0004155325008424177,-2.0649907386940242e-05,-1.0503383201712007,0,-2.0393390047821034e-06,-0.0,0.0,-0.0,10095.778149823718
2025-08-18,116227.05,116183.6,7.46e-05,-0.0003738372435676298,-43.44999999999709,-0.00043618240822935794,-0.00012247331745463973,-0.0004173641943940218,4.3526950826392016e-05,-0.6960257277738351,0,6.234516466172815e-05,0.0,0.0,0.0,10095.778149823718
2025-08-19,112872.94,112824.2,0.0001656599999999,-0.00043181297483706226,-48.74000000000524,-0.0003738372435676298,-0.0001804490487240722,-0.0003613670130441842,-7.044596179287807e-05,-1.0255064782644254,0,-5.797573126943247e-05,-0.0,0.0,-0.0,10095.778149823718
2025-08-20,114271.24,114220.5,0.0001084299999999,-0.00044403123655615564,-50.74000000000524,-0.00043181297483706226,-0.00019266731044316558,-0.0004134396566148375,-3.059157994131812e-05,-1.094943843740484,0,-1.2218261719093375e-05,-0.0,0.0,-0.0,10095.778149823718
2025-08-21,112500.0,112462.2,0.00016314,-0.0003360000000000259,-37.80000000000291,-0.00044403123655615564,-8.463607388703583e-05,-0.00042441385519104006,8.841385519101416e-05,-0.48099362495804193,0,0.00010803123655612974,0.0,0.0,0.0,10095.778149823718
2025-08-22,116935.99,116897.5,0.00023163,-0.000329154437397804,-38.49000000000524,-0.0003360000000000259,-7.779051128481396e-05,-0.00032738235679491217,-1.7720806028918563e-06,-0.4420897413100995,0,6.845562602221869e-06,0.0,0.0,0.0,10095.778149823718
2025-08-23,115438.05,115377.1,0.00029711,-0.0005279888217099742,-60.94999999999709,-0.000329154437397804,-0.00027662489559698416,-0.0003212338092281816,-0.0002067550124817926,-1.572081562578413,0,-0.0001988343843121702,-0.0,0.0,-0.0,10095.778149823718
2025-08-24,113493.59,113446.3,0.0003,-0.0004166755144497024,-47.2899999999936,-0.0005279888217099742,-0.00016531158833671232,-0.0004998228808478261,8.314736639812375e-05,-0.9394790716281841,0,0.00011131330726027184,0.0,0.0,0.0,10095.778149823718
2025-08-25,110111.98,110064.0,0.00028344,-0.0004357382366568645,-47.979999999995925,-0.0004166755144497024,-0.00018437431054387442,-0.0003998434921153743,-3.5894744541490166e-05,-1.0478140573486825,0,-1.9062722207162104e-05,-0.0,0.0,-0.0,10095.778149823718
2025-08-26,111763.22,111709.9,0.00018422,-0.0004770800268639986,-53.320000000006985,-0.0004357382366568645,-0.00022571610075100855,-0.0004169652483613934,-6.011477850260521e-05,-1.2827627809925168,0,-4.1341790207134125e-05,-0.0,0.0,-0.0,10095.778149823718
